UF;Populacao2015;Populacao2014;Populacao2013;Populacao2012;Populacao2011;Populacao2010;PIB2015;PIB2014;PIB2013;PIB2012;PIB2011;PIB2010;SMP2010;SMP2011;SMP2012;SMP2013;SMP2014;SMP2015
AC;803.513;790.101;776.463;758.786;746.386;732.793;4.302.674;4.142.585;4.673.155;3.873.576;3.438.262;3.221.630;658.802;813.950;958.104;916.781;906.477;805.497
AL;232.817;231.741;330.093;316.547;314.338;312.092;1.806.880;1.585.526;1.440.530;1.521.789;1.213.923;1.286.863;2.798.956;3.451.308;3.737.007;3.988.830;4.174.266;3.739.032
AM;766.679;750.912;734.996;698.602;684.309;668.689;2.796.328;2.645.065;2.674.862;2.212.675;1.945.288;1.665.048;3.210.296;3.920.371;4.150.495;4.116.084;4.155.800;3.709.617
AP;188.268;185.546;182.772;173.100;170.779;168.021;1.412.838;1.336.246;1.105.353;1.123.318;1.085.819;876.167;656.662;844.097;953.140;934.022;933.703;803.412
BA;12.286.176;12.226.346;12.163.338;11.467.083;11.406.621;11.347.502;73.000.644;66.343.276;62.908.968;58.650.309;53.726.853;49.524.990;12.561.991;15.857.031;17.131.713;17.960.136;18.719.145;16.636.911
CE;6.315.862;6.273.466;6.229.321;6.108.311;6.056.042;6.003.093;37.942.569;36.511.458;33.480.521;30.204.446;31.108.179;27.787.999;7.734.210;9.340.320;10.284.331;10.964.485;11.657.610;10.818.561
DF;2.914;2.852;2.789;2.648;2.609;2.562;215.613;197.432;175.906;164.101;154.568;144.174;4.501.606;5.505.330;5.958.447;6.107.863;6.259.975;5.615.044
ES;3.929.911;3.885.049;3.839.366;3.578.067;3.547.055;3.512.672;19.146.500;18.217.206;17.452.472;16.791.296;14.646.542;13.994.072;3.749.024;4.305.908;4.581.729;4.503.161;4.393.388;3.911.738
GO;5.181.414;5.112.270;5.041.866;4.822.562;4.763.885;4.703.454;49.125.410;48.106.572;46.407.453;41.440.626;39.441.874;35.796.324;6.874.719;8.288.442;8.932.499;9.319.927;9.579.194;8.533.639
MA;583.142;578.775;574.143;567.574;561.935;555.875;34.387.536;32.611.383;29.688.715;26.580.738;25.210.799;21.710.637;3.981.782;5.313.540;6.025.379;6.415.868;6.668.921;6.058.136
MG;4.240.510;3.224.357;3.182.113;3.115.336;3.075.936;3.033.991;36.135.052;35.825.591;34.165.601;29.419.763;26.022.681;24.784.282;20.415.733;23.803.574;25.534.730;26.178.327;26.810.130;24.709.659
MS;2.651.235;2.619.657;2.587.269;2.505.088;2.477.542;2.449.341;21.687.941;21.601.896;20.166.392;19.519.665;20.157.813;17.989.775;2.888.972;3.449.512;3.705.033;3.815.259;3.816.951;3.359.730
MT;1.918.622;1.906.665;1.894.084;1.826.813;1.815.563;1.803.642;12.746.146;12.419.736;11.523.116;11.276.096;10.513.494;9.602.918;3.417.661;4.004.241;4.496.830;4.572.718;4.716.690;4.160.649
PA;676.880;667.346;657.523;641.318;628.793;621.260;3.851.892;3.629.182;3.657.442;3.350.509;3.055.003;2.736.979;6.149.424;7.915.251;8.846.574;9.097.552;9.338.657;8.290.703
PB;397.220;394.388;391.442;381.517;379.131;376.683;2.268.979;2.119.533;1.973.612;1.753.442;1.663.800;1.489.495;3.410.413;4.229.733;4.674.159;4.918.645;5.162.240;4.711.760
PE;9.285.541;9.219.139;9.150.367;8.802.700;8.749.572;8.694.451;86.210.163;86.286.029;79.933.014;78.904.334;76.631.632;66.600.977;9.371.357;10.917.240;11.831.680;12.441.544;13.042.116;11.859.347
PI;772.960;767.084;761.063;737.754;731.993;726.063;3.780.563;3.645.185;3.232.607;3.012.125;3.370.359;3.007.935;2.586.292;3.328.674;3.744.793;3.918.761;4.179.463;3.924.416
PR;3.204.028;3.194.718;3.184.166;3.160.748;3.140.328;3.119.015;17.488.615;17.102.935;14.076.924;14.059.895;12.686.307;11.652.080;11.339.341;13.188.743;14.269.819;14.610.598;15.350.853;14.252.894
RJ;9.042.826;8.983.072;8.921.203;8.832.353;8.756.027;9.676.869;18.892.771;19.089.258;19.122.438;16.546.125;17.068.770;18.061.670;18.300.849;21.713.099;23.106.547;24.132.404;24.770.167;23.068.226
RN;344.217;340.851;337.395;322.819;319.865;316.813;20.506.168;21.322.359;19.846.684;18.016.261;15.767.957;13.617.993;3.270.160;4.029.718;4.366.288;4.553.578;4.685.805;4.280.595
RO;977.258;973.626;969.769;935.530;932.134;928.700;9.330.477;8.605.000;8.872.140;7.542.818;7.431.360;7.169.031;1.693.224;2.054.026;2.350.651;2.403.852;2.441.892;2.133.397
RR;1.768.204;1.748.531;1.728.214;1.590.011;1.576.455;1.560.501;11.579.809;10.747.541;10.752.239;9.963.992;9.994.448;8.975.271;385.042;480.078;525.281;507.307;513.126;480.103
RS;5.056.650;4.969.360;4.880.720;4.695.240;4.601.650;4.512.270;28.026.130;23.982.300;23.120.530;18.815.570;17.693.690;15.210.170;12.304.739;14.116.397;15.527.256;16.214.100;16.561.405;14.774.824
SC;6.819.190;6.727.140;6.634.250;6.383.280;6.317.050;6.249.680;63.654.647;62.325.798;61.772.433;55.180.543;51.382.594;49.851.365;6.692.697;7.698.617;8.451.136;8.771.606;9.089.652;8.505.712
SE;307.893;305.211;302.451;290.012;287.660;285.221;1.234.497;1.216.806;1.157.332;1.112.854;1.125.045;1.116.500;2.066.689;2.473.194;2.685.732;2.722.230;2.678.395;2.269.886
SP;22.429.379;22.195.749;21.956.629;21.108.679;20.898.199;20.680.319;132.202.280;145.386.560;146.832.150;135.692.170;132.868.030;120.204.650;50.590.165;59.551.428;63.152.523;65.085.183;68.102.497;64.559.901
TO;1.515.126;1.496.889;1.478.164;1.417.694;1.400.892;1.383.453;1.387.243;1.378.974;1.350.836;1.190.392;1.054.662;909.413;1.333.227;1.637.681;1.826.027;1.928.978;2.020.278;1.840.885
